2022-10-30 16:00:00,2022-10-31 16:00:00,2022-11-01 16:00:00,2022-11-02 16:00:00,2022-11-03 16:00:00,2022-11-06 16:00:00,2022-11-07 16:00:00,2022-11-08 16:00:00,2022-11-09 16:00:00,2022-11-10 16:00:00,2022-11-13 16:00:00,2022-11-14 16:00:00,2022-11-15 16:00:00,2022-11-16 16:00:00,2022-11-17 16:00:00,2022-11-20 16:00:00,2022-11-21 16:00:00,2022-11-22 16:00:00,2022-11-23 16:00:00,2022-11-24 16:00:00,2022-11-27 16:00:00,2022-11-28 16:00:00,2022-11-29 16:00:00,2022-11-30 16:00:00,2022-12-01 16:00:00,2022-12-04 16:00:00,2022-12-05 16:00:00,2022-12-06 16:00:00,2022-12-07 16:00:00,2022-12-08 16:00:00,2022-12-11 16:00:00,2022-12-12 16:00:00,2022-12-13 16:00:00,2022-12-14 16:00:00,2022-12-15 16:00:00,2022-12-18 16:00:00,2022-12-19 16:00:00,2022-12-20 16:00:00,2022-12-21 16:00:00,2022-12-22 16:00:00,2022-12-27 16:00:00,2022-12-28 16:00:00,2022-12-29 16:00:00
14830.6904296875,14859.919921875,15389.5498046875,15477.740234375,15442.759765625,16031.7900390625,16640.599609375,16552.80078125,16138.2197265625,17120.05078125,17999.259765625,17665.80078125,18169.2109375,18071.599609375,18316.359375,17654.150390625,17625.189453125,17460.900390625,17684.529296875,17673.19921875,17000.23046875,17558.599609375,18141.560546875,19058.900390625,18785.279296875,19221.6796875,19211.69921875,19380.80078125,18965.05078125,19484.23046875,19594.51953125,19458.01953125,19775.330078125,19612.669921875,19343.69921875,19472.2109375,19156.939453125,19190.91015625,19537.44921875,19382.23046875,19787.939453125,19648.400390625,20030.849609375
15113.150390625,15632.849609375,15867.240234375,15623.1796875,16513.16015625,16821.890625,16719.009765625,16730.19921875,16138.2197265625,17368.0390625,18011.640625,18356.779296875,18414.08984375,18220.810546875,18378.060546875,17746.33984375,17751.9296875,17640.83984375,17759.240234375,17673.19921875,17364.2109375,18204.6796875,18645.349609375,19237.44921875,18841.220703125,19539.599609375,19569.669921875,19737.310546875,19521.599609375,19926.48046875,19718.080078125,19707.75,19859.75,19675.6796875,19621.130859375,19786.2890625,19283.140625,19255.740234375,19735.0,19686.76953125,20099.76953125,19764.51953125,20073.919921875
14597.3095703125,14859.919921875,15276.759765625,15301.669921875,15442.759765625,15980.849609375,16429.810546875,16213.0302734375,15945.2001953125,16829.0,17518.880859375,17552.30078125,18031.869140625,17711.83984375,17910.189453125,17389.44921875,17287.599609375,17375.9609375,17517.119140625,17412.0390625,16833.6796875,17536.44921875,18052.3203125,18679.349609375,18530.8203125,19035.140625,19202.869140625,18799.810546875,18965.05078125,19404.5,19366.220703125,19382.30078125,19528.7109375,19233.859375,19130.529296875,19255.94921875,18885.19921875,19063.30078125,19475.6796875,19380.470703125,19787.939453125,19539.83984375,19781.41015625
14687.01953125,15455.26953125,15827.169921875,15339.490234375,16161.1396484375,16595.91015625,16557.310546875,16358.51953125,16081.0400390625,17325.66015625,17619.7109375,18343.119140625,18256.48046875,18045.66015625,17992.5390625,17655.91015625,17424.41015625,17523.810546875,17660.900390625,17573.580078125,17297.939453125,18204.6796875,18597.23046875,18736.439453125,18675.349609375,19518.2890625,19441.1796875,18814.8203125,19450.23046875,19900.869140625,19463.630859375,19596.19921875,19673.44921875,19368.58984375,19450.669921875,19352.810546875,19094.80078125,19160.490234375,19679.220703125,19593.060546875,19898.91015625,19741.140625,19781.41015625
14687.01953125,15455.26953125,15827.169921875,15339.490234375,16161.1396484375,16595.91015625,16557.310546875,16358.51953125,16081.0400390625,17325.66015625,17619.7109375,18343.119140625,18256.48046875,18045.66015625,17992.5390625,17655.91015625,17424.41015625,17523.810546875,17660.900390625,17573.580078125,17297.939453125,18204.6796875,18597.23046875,18736.439453125,18675.349609375,19518.2890625,19441.1796875,18814.8203125,19450.23046875,19900.869140625,19463.630859375,19596.19921875,19673.44921875,19368.58984375,19450.669921875,19352.810546875,19094.80078125,19160.490234375,19679.220703125,19593.060546875,19898.91015625,19741.140625,19781.41015625
4183641700,3787359000,2774638200,2544805200,3951121100,3227830100,2071208700,3270965100,2204747800,5112566000,5547517900,4900022200,3918387100,2930448500,2792874200,2230983500,3024902000,2423764400,2910419300,3176711400,2799254000,4273394700,5359650800,4262000300,3757394000,4890142300,3552078500,5308866200,2856166600,4023277500,3115198500,2584117300,2758656100,2243394000,2875978600,2238224700,1938516900,1348431000,1939795100,1363741800,2823780600,2902362900,1747706800
14417.1129713352,14322.2986212288,14376.5522838243,14411.0182051663,14519.9554500128,14570.7140989924,14587.0818942832,14600.6506811751,14600.2797045362,14525.4354531894,14421.2756599455,14224.9890545221,14084.5675387152,14013.9999058646,13976.0924202015,14094.3141660947,14248.840700681,14397.7622838494,14546.6405033183,14842.1727733936,15239.9201901464,15468.6229264308,15623.045709053,15950.4269406941,16123.9786561685,16136.8346634349,16227.3489212695,16468.0922415634,16798.4237983168,16807.6511405572,16861.9867436786,16845.1665553966,16842.2657475631,16891.316020767,16954.7386513816,17086.7500059472,17285.9401086188,17489.9915898968,17685.6715944835,17949.9683468753,18387.2532115611,18593.0218594868,18716.8847003531
16390.9299316406,16309.7179199219,16196.6778808594,16063.0448730469,15984.0993164062,15953.0618164063,15939.309375,15922.1838867188,15906.7804199219,15943.6789550781,15994.0194824219,16065.4464355469,16152.7064941406,16240.978515625,16330.0494628906,16453.8104492187,16566.7514648438,16677.0584960937,16788.7064941406,16924.2325195313,17054.778515625,17192.2490234375,17330.7520507813,17500.5995117187,17626.3100097656,17772.4289550781,17916.6224121094,18039.4374511719,18207.8969726562,18336.657421875,18428.8534179687,18491.507421875,18562.355859375,18628.50234375,18701.4088867187,18786.25390625,18869.7734375,18951.607421875,19052.5234375,19153.4974609375,19283.5459960938,19360.3690429687,19419.5780273437
18364.746891946,18297.1372186149,18016.8034778945,17715.0715409274,17448.2431827997,17335.4095338201,17291.5368557168,17243.7170922624,17213.2811353075,17361.9224569668,17566.7633048983,17905.9038165716,18220.8454495661,18467.9571253854,18684.0065055797,18813.3067323428,18884.6622290065,18956.3547083381,19030.772484963,19006.2922656689,18869.6368411036,18915.8751204442,19038.4583925095,19050.7720827434,19128.6413633627,19408.0232467214,19605.8959029493,19610.7826607803,19617.3701469957,19865.6637031928,19995.7200922589,20137.8482883534,20282.4459711869,20365.688666733,20448.0791220559,20485.7578065528,20453.6067663812,20413.2232538532,20419.3752805165,20357.0265749997,20179.8387806264,20127.7162264507,20122.2713543344
24.0842584104,24.3709830967,22.4752953714,20.5692841044,18.3200046172,17.3301869362,16.9672028932,16.5998987946,16.4269661226,17.7906680871,19.6666488271,22.9119979754,25.6073365312,27.4241925463,28.8297601062,28.6802414603,27.9826828945,27.3345112123,26.7092165987,24.6044805132,21.2826959179,20.0511997547,19.7072387479,17.7156510551,17.0464646629,18.4059736098,18.8570529867,17.421221852,15.4819985686,16.6770447431,17.0044944062,17.8064538376,18.533101346,18.6508425737,18.6795577373,18.0930579219,16.7869882924,15.42471622,14.3482499575,12.5671994529,9.2959332761,7.9269892199,7.2369577341
